,Income,Location,Ad Type,Ad Placement,Clicks,Conversion Rate,CTR,Ad Type_Text,Ad Type_Video
50,23765.46,Suburban,Banner,Social Media,7,0.0312,0.0515,False,False
51,59059.97,Rural,Text,Search Engine,7,0.1791,0.0433,True,False
52,39955.58,Rural,Video,Search Engine,10,0.4189,0.0292,False,True
53,61878.48,Urban,Text,Website,3,0.171,0.0506,True,False
54,88814.21,Suburban,Banner,Website,3,0.1638,0.0745,False,False
55,10006.0,Suburban,Text,Social Media,2,0.3896,0.0821,True,False
56,31995.6,Rural,Video,Search Engine,5,0.1872,0.0632,False,True
57,50849.67,Suburban,Banner,Website,8,0.3027,0.032,False,False
58,60953.49,Urban,Banner,Social Media,3,0.2291,0.0371,False,False
59,7421.95,Suburban,Banner,Website,5,0.1177,0.0597,False,False
60,30174.79,Rural,Banner,Website,2,0.1139,0.0631,False,False
61,48436.52,Urban,Banner,Search Engine,7,0.116,0.0143,False,False
62,78766.14,Urban,Video,Website,3,0.0712,0.0528,False,True
63,31802.68,Suburban,Text,Website,6,0.1336,0.0722,True,False
64,70507.92,Rural,Native,Website,13,0.1191,0.0321,False,False
65,17097.52,Rural,Native,Website,5,0.1999,0.0416,False,False
66,49647.93,Suburban,Native,Website,3,0.1502,0.0644,False,False
67,75455.62,Suburban,Text,Website,6,0.2392,0.0487,True,False
68,2762.99,Urban,Video,Social Media,9,0.195,0.0388,False,True
69,77086.3,Suburban,Native,Website,6,0.2441,0.0387,False,False
70,26482.76,Rural,Banner,Social Media,3,0.1634,0.0279,False,False
71,54016.77,Suburban,Text,Website,7,0.1384,0.056,True,False
72,7975.48,Urban,Video,Search Engine,5,0.2732,0.0509,False,True
73,71737.27,Suburban,Text,Search Engine,10,0.0994,0.0485,True,False
74,44548.47,Suburban,Banner,Social Media,3,0.0654,0.0243,False,False
75,30015.2,Urban,Native,Social Media,7,0.3575,0.0474,False,False
76,60962.34,Rural,Native,Website,2,0.2382,0.0486,False,False
77,56481.86,Rural,Video,Website,4,0.197,0.0912,False,True
78,34280.63,Suburban,Banner,Search Engine,5,0.0683,0.0539,False,False
79,37104.94,Suburban,Native,Social Media,2,0.1692,0.0559,False,False
80,58351.11,Urban,Video,Search Engine,5,0.2141,0.0515,False,True
81,69285.97,Rural,Text,Website,7,0.0773,0.0183,True,False
82,66906.87,Suburban,Banner,Social Media,3,0.1649,0.0628,False,False
83,54109.87,Suburban,Native,Social Media,6,0.0266,0.0717,False,False
84,61346.6,Suburban,Native,Search Engine,9,0.4346,0.0376,False,False
85,34648.58,Urban,Text,Search Engine,6,0.1433,0.0565,True,False
86,57250.96,Suburban,Text,Website,4,0.0533,0.045,True,False
87,64780.53,Suburban,Banner,Website,3,0.1321,0.0786,False,False
88,56916.6,Suburban,Banner,Social Media,6,0.2333,0.0378,False,False
89,62297.62,Suburban,Native,Social Media,9,0.1163,0.0535,False,False
90,50549.63,Suburban,Video,Website,5,0.3451,0.0452,False,True
91,44396.59,Suburban,Text,Website,5,0.0921,0.0489,True,False
92,54044.49,Suburban,Text,Search Engine,4,0.4286,0.0399,True,False
93,45841.76,Urban,Text,Social Media,2,0.3546,0.0653,True,False
94,36686.4,Rural,Banner,Website,5,0.134,0.0663,False,False
95,44764.18,Suburban,Text,Social Media,4,0.3453,0.0487,True,False
96,65392.19,Rural,Banner,Website,2,0.0244,0.0428,False,False
97,50604.72,Rural,Video,Social Media,8,0.1523,0.0812,False,True
98,63527.53,Rural,Video,Website,4,0.1039,0.0738,False,True
99,48142.07,Urban,Banner,Search Engine,7,0.1427,0.0841,False,False
100,64201.49,Suburban,Video,Social Media,7,0.2218,0.0448,False,True
101,31274.19,Rural,Video,Search Engine,5,0.045,0.0519,False,True
102,61155.42,Rural,Banner,Website,4,0.463,0.0748,False,False
103,58206.65,Rural,Banner,Social Media,2,0.3339,0.0466,False,False
104,40125.2,Suburban,Native,Social Media,7,0.3041,0.0513,False,False
105,59238.87,Suburban,Text,Social Media,5,0.1468,0.0541,True,False
106,5126.63,Suburban,Text,Search Engine,6,0.0991,0.0247,True,False
107,54656.47,Rural,Native,Search Engine,1,0.1031,0.0547,False,False
108,69766.4,Suburban,Video,Social Media,3,0.4831,0.0232,False,True
109,66043.01,Urban,Native,Social Media,6,0.1554,0.0653,False,False
110,46055.5,Suburban,Video,Website,3,0.1775,0.0793,False,True
111,41148.44,Suburban,Banner,Social Media,4,0.1198,0.1144,False,False
112,54780.36,Urban,Native,Search Engine,11,0.0459,0.0209,False,False
113,39615.98,Rural,Text,Website,3,0.2404,0.0368,True,False
114,29706.23,Rural,Native,Social Media,5,0.384,0.0711,False,False
115,29380.42,Urban,Video,Search Engine,7,0.2879,0.0485,False,True
116,48719.15,Suburban,Text,Website,4,0.0933,0.0582,True,False
117,66245.84,Rural,Native,Social Media,5,0.0125,0.039,False,False
118,43713.32,Rural,Banner,Social Media,6,0.3202,0.0754,False,False
119,53418.79,Suburban,Text,Search Engine,4,0.2782,0.0155,True,False
120,81045.08,Suburban,Video,Website,7,0.0852,0.0471,False,True
121,47026.28,Rural,Video,Website,0,0.2482,0.0434,False,True
122,50920.01,Rural,Text,Social Media,7,0.1415,0.066,True,False
123,40147.58,Suburban,Native,Search Engine,2,0.1487,0.0801,False,False
124,77357.56,Suburban,Video,Website,5,0.2495,0.0522,False,True
125,36037.5,Suburban,Text,Social Media,7,0.0591,0.071,True,False
126,58027.27,Rural,Native,Search Engine,7,0.1451,0.0541,False,False
127,71735.82,Rural,Banner,Social Media,7,0.2628,0.0,False,False
128,98902.33,Suburban,Banner,Website,4,0.1461,0.0609,False,False
129,50423.87,Rural,Banner,Search Engine,3,0.1075,0.0577,False,False
130,60298.66,Suburban,Video,Website,7,0.2476,0.0367,False,True
131,23658.1,Urban,Text,Search Engine,4,0.0555,0.0767,True,False
132,34098.15,Suburban,Banner,Search Engine,2,0.1676,0.0054,False,False
133,21500.52,Rural,Banner,Search Engine,10,0.2396,0.0585,False,False
134,20447.24,Rural,Banner,Search Engine,2,0.3025,0.0707,False,False
135,93828.16,Suburban,Banner,Website,5,0.1518,0.0493,False,False
136,48739.45,Suburban,Text,Website,6,0.2016,0.0096,True,False
137,34835.35,Urban,Native,Website,6,0.2643,0.042,False,False
138,41729.12,Urban,Text,Search Engine,6,0.1845,0.0382,True,False
139,43947.47,Rural,Banner,Search Engine,8,0.3013,0.0729,False,False
140,59571.34,Suburban,Native,Search Engine,4,0.434,0.0287,False,False
141,38013.57,Rural,Text,Social Media,6,0.3536,0.0646,True,False
142,52642.66,Urban,Video,Search Engine,4,0.1848,0.0652,False,True
143,73133.71,Rural,Native,Search Engine,6,0.2308,0.0634,False,False
144,65034.97,Urban,Native,Search Engine,5,0.3773,0.0207,False,False
145,59642.84,Suburban,Video,Social Media,1,0.392,0.0424,False,True
146,70359.51,Rural,Banner,Social Media,4,0.1439,0.0623,False,False
147,63127.27,Urban,Video,Search Engine,2,0.2399,0.0591,False,True
148,9297.5,Suburban,Native,Website,4,0.3982,0.0247,False,False
149,65705.37,Suburban,Text,Social Media,3,0.1565,0.0905,True,False
150,53972.99,Suburban,Banner,Website,8,0.056,0.0746,False,False
151,69962.24,Rural,Text,Search Engine,5,0.2021,0.0521,True,False
152,48565.82,Rural,Native,Search Engine,7,0.2498,0.0371,False,False
153,74896.97,Rural,Video,Social Media,4,0.115,0.0626,False,True
154,82051.49,Urban,Text,Website,2,0.0575,0.0332,True,False
155,65251.31,Urban,Native,Website,5,0.0732,0.0678,False,False
156,81310.9,Urban,Banner,Search Engine,4,0.2105,0.0353,False,False
157,41977.83,Suburban,Native,Search Engine,4,0.0562,0.0292,False,False
158,36582.01,Rural,Text,Search Engine,7,0.1331,0.0341,True,False
159,54065.18,Rural,Video,Search Engine,4,0.0924,0.0964,False,True
160,47252.77,Suburban,Native,Search Engine,1,0.2466,0.033,False,False
161,49162.61,Suburban,Video,Website,7,0.3605,0.0322,False,True
162,45907.31,Rural,Video,Search Engine,7,0.1523,0.0671,False,True
163,56489.22,Urban,Banner,Website,7,0.2854,0.0457,False,False
164,17324.13,Rural,Video,Social Media,5,0.2711,0.0733,False,True
165,70407.11,Urban,Text,Search Engine,6,0.1105,0.0693,True,False
166,38514.2,Urban,Banner,Social Media,6,0.0974,0.0383,False,False
167,39145.29,Rural,Text,Social Media,5,0.4655,0.071,True,False
168,75589.23,Rural,Text,Search Engine,6,0.3696,0.0096,True,False
169,29636.94,Suburban,Native,Social Media,7,0.0935,0.0506,False,False
170,25305.68,Urban,Video,Search Engine,3,0.0466,0.0198,False,True
171,57136.85,Urban,Video,Search Engine,5,0.3236,0.0353,False,True
172,42909.2,Urban,Banner,Search Engine,5,0.2587,0.0636,False,False
173,48708.54,Suburban,Text,Search Engine,4,0.2095,0.0566,True,False
174,77960.06,Suburban,Banner,Website,6,0.5562,0.0611,False,False
175,740.99,Urban,Text,Search Engine,4,0.0911,0.0295,True,False
176,61022.36,Urban,Native,Social Media,4,0.1597,0.0315,False,False
177,46401.57,Urban,Banner,Website,1,0.137,0.0851,False,False
178,7743.4,Urban,Video,Social Media,10,0.0202,0.1212,False,True
179,38697.78,Urban,Native,Social Media,8,0.1756,0.0,False,False
180,78005.54,Rural,Text,Website,7,0.23,0.0817,True,False
181,29816.96,Suburban,Native,Website,5,0.1908,0.0799,False,False
182,59139.49,Urban,Video,Search Engine,2,0.1293,0.0459,False,True
183,67213.93,Rural,Banner,Search Engine,7,0.0342,0.0473,False,False
184,46095.06,Suburban,Text,Website,9,0.0319,0.0493,True,False
185,14067.12,Rural,Banner,Search Engine,6,0.1169,0.0413,False,False
186,42369.54,Urban,Banner,Search Engine,6,0.2307,0.0419,False,False
187,43208.78,Rural,Video,Website,4,0.2415,0.0495,False,True
188,53730.7,Rural,Native,Search Engine,4,0.0954,0.0403,False,False
189,40161.11,Suburban,Video,Social Media,5,0.3508,0.0583,False,True
190,75292.9,Suburban,Banner,Social Media,4,0.209,0.0384,False,False
191,57905.0,Rural,Native,Social Media,5,0.2892,0.0455,False,False
192,67774.21,Rural,Banner,Search Engine,7,0.2463,0.0671,False,False
193,40100.99,Urban,Banner,Search Engine,4,0.2846,0.0598,False,False
194,55818.61,Suburban,Text,Social Media,6,0.2408,0.049,True,False
195,60165.7,Urban,Video,Website,5,0.1388,0.0337,False,True
196,21363.72,Urban,Native,Social Media,6,0.1389,0.0449,False,False
197,59972.32,Suburban,Text,Search Engine,6,0.1809,0.0609,True,False
198,39419.38,Urban,Text,Search Engine,4,0.2065,0.0498,True,False
199,64212.5,Rural,Native,Social Media,4,0.1037,0.0715,False,False
200,70448.98,Suburban,Native,Search Engine,8,0.271,0.073,False,False
201,69205.42,Rural,Text,Social Media,4,0.3586,0.0756,True,False
202,39445.48,Rural,Banner,Social Media,3,0.3283,0.0637,False,False
203,79090.07,Rural,Banner,Search Engine,8,0.3325,0.0603,False,False
204,32056.37,Urban,Banner,Website,3,0.0135,0.0431,False,False
205,50860.16,Urban,Banner,Search Engine,3,0.3031,0.0216,False,False
206,50256.83,Suburban,Native,Social Media,3,0.1512,0.0389,False,False
207,102760.97,Rural,Video,Website,2,0.0511,0.0421,False,True
208,27589.46,Rural,Banner,Website,4,0.0924,0.0792,False,False
209,34897.83,Suburban,Video,Website,3,0.2061,0.0638,False,True
210,69937.19,Suburban,Banner,Website,2,0.2467,0.0162,False,False
211,57826.95,Rural,Video,Search Engine,5,0.1863,0.0378,False,True
212,47769.22,Rural,Video,Search Engine,4,0.1179,0.0538,False,True
213,32895.99,Suburban,Text,Social Media,10,0.4966,0.0402,True,False
214,15070.8,Suburban,Banner,Search Engine,3,0.1304,0.0656,False,False
215,60676.96,Rural,Text,Search Engine,3,0.0932,0.0763,True,False
216,37885.16,Suburban,Banner,Search Engine,5,0.0901,0.0237,False,False
217,57529.23,Urban,Native,Social Media,3,0.0724,0.0305,False,False
218,62625.19,Urban,Native,Search Engine,4,0.1562,0.0469,False,False
219,58560.95,Urban,Banner,Search Engine,4,0.1948,0.0226,False,False
220,52223.2,Rural,Native,Search Engine,9,0.1072,0.0579,False,False
221,58166.61,Rural,Banner,Search Engine,5,0.1081,0.0857,False,False
222,55087.16,Rural,Video,Social Media,3,0.1563,0.0698,False,True
223,41028.55,Suburban,Native,Search Engine,4,0.0426,0.0451,False,False
224,47850.12,Rural,Native,Social Media,6,0.2517,0.0147,False,False
225,46408.25,Rural,Banner,Website,5,0.1543,0.042,False,False
226,60514.43,Urban,Banner,Search Engine,5,0.1423,0.0524,False,False
227,69266.28,Rural,Native,Website,5,0.3509,0.0383,False,False
228,45499.34,Suburban,Banner,Website,2,0.2458,0.0252,False,False
229,32087.91,Urban,Banner,Website,3,0.2084,0.0531,False,False
230,68060.19,Urban,Video,Website,14,0.1184,0.0584,False,True
231,73027.36,Urban,Banner,Website,5,0.2095,0.0428,False,False
232,28525.71,Rural,Banner,Search Engine,6,0.0706,0.0424,False,False
233,33604.91,Urban,Native,Search Engine,6,0.2423,0.0583,False,False
234,69433.24,Rural,Video,Social Media,6,0.0476,0.0675,False,True
235,66439.91,Urban,Video,Social Media,1,0.0847,0.0756,False,True
236,59263.93,Urban,Banner,Search Engine,6,0.2138,0.06,False,False
237,75351.1,Urban,Video,Social Media,8,0.2453,0.0372,False,True
238,47584.88,Urban,Video,Website,3,0.2486,0.0399,False,True
239,48488.37,Urban,Video,Social Media,11,0.1568,0.0639,False,True
240,49130.73,Urban,Video,Social Media,4,0.1124,0.0544,False,True
241,17935.56,Rural,Video,Search Engine,4,0.1843,0.0598,False,True
242,17456.17,Suburban,Text,Search Engine,6,0.1314,0.0376,True,False
243,11891.82,Urban,Video,Search Engine,5,0.2681,0.0399,False,True
244,38940.87,Urban,Banner,Search Engine,8,0.2303,0.0,False,False
245,35888.37,Rural,Text,Search Engine,5,0.0946,0.0232,True,False
246,74227.2,Urban,Video,Search Engine,10,0.1318,0.063,False,True
247,62997.23,Suburban,Native,Search Engine,3,0.1809,0.0444,False,False
248,55941.44,Urban,Native,Search Engine,5,0.2447,0.0399,False,False
249,89887.47,Suburban,Native,Website,8,0.3689,0.0585,False,False
250,44191.6,Suburban,Native,Social Media,7,0.1322,0.0671,False,False
251,95758.17,Rural,Video,Search Engine,6,0.2889,0.0598,False,True
252,31971.47,Urban,Text,Search Engine,3,0.0475,0.0351,True,False
253,34933.67,Urban,Banner,Social Media,9,0.1556,0.046,False,False
254,32585.71,Rural,Native,Search Engine,9,0.1832,0.0416,False,False
255,58931.11,Suburban,Text,Search Engine,5,0.2716,0.0305,True,False
256,25457.52,Urban,Native,Website,5,0.0953,0.0572,False,False
257,81632.3,Suburban,Banner,Search Engine,6,0.1909,0.0303,False,False
258,70635.79,Urban,Native,Website,8,0.1079,0.0425,False,False
259,26938.27,Urban,Text,Search Engine,3,0.0847,0.0347,True,False
260,41494.05,Rural,Banner,Search Engine,8,0.1001,0.055,False,False
261,56836.3,Urban,Banner,Social Media,2,0.1077,0.0359,False,False
262,76848.87,Urban,Native,Social Media,6,0.0528,0.0772,False,False
263,77312.65,Rural,Native,Social Media,4,0.3425,0.0039,False,False
264,42973.6,Urban,Video,Social Media,8,0.2291,0.0615,False,True
265,70012.45,Suburban,Text,Social Media,4,0.1393,0.0399,True,False
266,57499.6,Suburban,Banner,Search Engine,7,0.1842,0.0548,False,False
267,47919.38,Urban,Banner,Social Media,6,0.4156,0.0315,False,False
268,54714.57,Rural,Text,Search Engine,8,0.1519,0.0485,True,False
269,56373.78,Rural,Banner,Website,8,0.1529,0.0366,False,False
270,41083.13,Urban,Native,Search Engine,4,0.2869,0.0626,False,False
271,54463.9,Suburban,Text,Search Engine,3,0.1715,0.048,True,False
272,50138.7,Suburban,Banner,Search Engine,4,0.0555,0.0692,False,False
273,80724.87,Rural,Banner,Search Engine,5,0.1916,0.066,False,False
274,74428.82,Urban,Text,Social Media,2,0.029,0.0228,True,False
275,43958.03,Urban,Banner,Search Engine,2,0.0347,0.0768,False,False
276,54111.48,Rural,Video,Search Engine,3,0.2028,0.0377,False,True
277,46557.54,Rural,Video,Website,5,0.2974,0.0669,False,True
278,59884.35,Urban,Banner,Website,7,0.1334,0.0525,False,False
279,61549.16,Rural,Banner,Social Media,8,0.1967,0.0687,False,False
280,19180.91,Suburban,Banner,Website,7,0.2341,0.072,False,False
281,59680.15,Rural,Video,Search Engine,2,0.241,0.0543,False,True
282,57516.9,Suburban,Native,Social Media,8,0.1376,0.0453,False,False
283,44191.23,Rural,Banner,Social Media,1,0.2149,0.0682,False,False
284,47278.52,Rural,Video,Social Media,6,0.1806,0.0348,False,True
285,68616.94,Urban,Native,Social Media,3,0.092,0.056,False,False
286,83560.06,Rural,Text,Search Engine,4,0.07,0.0899,True,False
287,60886.85,Rural,Text,Website,5,0.1853,0.0804,True,False
288,25653.13,Rural,Video,Website,3,0.2926,0.04,False,True
289,25384.06,Rural,Video,Website,5,0.215,0.0404,False,True
290,64257.95,Urban,Native,Website,5,0.0723,0.0658,False,False
291,44395.11,Urban,Banner,Social Media,6,0.1012,0.0733,False,False
292,49742.59,Urban,Video,Social Media,3,0.1955,0.0716,False,True
293,69358.12,Rural,Video,Social Media,8,0.3108,0.0341,False,True
294,56037.71,Urban,Banner,Social Media,9,0.1946,0.0641,False,False
295,17847.01,Rural,Text,Search Engine,2,0.3346,0.0447,True,False
296,21915.87,Rural,Native,Social Media,4,0.3869,0.0633,False,False
297,65048.95,Urban,Text,Website,7,0.1069,0.067,True,False
298,46715.06,Rural,Banner,Search Engine,7,0.1923,0.0588,False,False
299,69093.47,Suburban,Video,Website,6,0.2203,0.0463,False,True
300,66690.3,Suburban,Video,Website,5,0.3254,0.0572,False,True
301,53730.47,Urban,Native,Website,3,0.0573,0.039,False,False
302,7076.0,Rural,Banner,Website,6,0.0065,0.054,False,False
303,47086.72,Urban,Banner,Search Engine,4,0.2944,0.0704,False,False
304,14930.08,Rural,Video,Search Engine,4,0.2281,0.0632,False,True
305,9113.35,Rural,Text,Website,5,0.2135,0.0313,True,False
306,95033.41,Rural,Native,Website,4,0.1907,0.0595,False,False
307,29046.26,Suburban,Banner,Website,9,0.1524,0.0568,False,False
308,24825.79,Urban,Banner,Search Engine,5,0.2963,0.0395,False,False
309,36657.05,Rural,Banner,Social Media,7,0.0423,0.0872,False,False
310,90186.62,Rural,Banner,Website,4,0.404,0.0589,False,False
311,66622.81,Urban,Video,Website,5,0.0269,0.0784,False,True
312,70874.18,Suburban,Text,Social Media,5,0.1978,0.0616,True,False
313,68165.44,Suburban,Text,Search Engine,4,0.2163,0.0174,True,False
314,52524.32,Rural,Banner,Website,7,0.1096,0.046,False,False
315,27813.66,Suburban,Banner,Social Media,6,0.2328,0.0304,False,False
316,35031.74,Urban,Text,Search Engine,4,0.169,0.058,True,False
317,10120.77,Rural,Native,Social Media,11,0.2169,0.0668,False,False
318,68965.16,Urban,Text,Search Engine,5,0.2078,0.0329,True,False
319,14150.84,Rural,Native,Website,6,0.4107,0.0378,False,False
320,48367.42,Urban,Video,Social Media,8,0.1521,0.05,False,True
321,56151.5,Rural,Banner,Social Media,6,0.3761,0.0445,False,False
322,7220.58,Rural,Video,Search Engine,4,0.0872,0.0705,False,True
323,30197.17,Urban,Native,Search Engine,6,0.2275,0.0401,False,False
324,45616.79,Rural,Native,Social Media,11,0.3301,0.0515,False,False
325,28293.89,Rural,Video,Search Engine,8,0.1234,0.0556,False,True
326,68193.73,Urban,Banner,Website,2,0.1191,0.0263,False,False
327,69557.53,Suburban,Native,Search Engine,6,0.3954,0.0179,False,False
328,69742.86,Suburban,Native,Social Media,6,0.1842,0.0614,False,False
329,31765.14,Urban,Video,Website,4,0.1571,0.0505,False,True
330,80683.67,Suburban,Text,Search Engine,7,0.1547,0.0816,True,False
331,87081.81,Rural,Native,Website,5,0.1407,0.0547,False,False
332,29740.07,Suburban,Banner,Social Media,3,0.0708,0.0684,False,False
333,58564.27,Rural,Native,Website,2,0.0593,0.0735,False,False
334,48784.73,Rural,Native,Search Engine,6,0.1611,0.0115,False,False
335,65592.67,Urban,Banner,Website,7,0.0832,0.0519,False,False
336,23931.29,Rural,Text,Search Engine,1,0.0769,0.0746,True,False
337,38427.9,Urban,Video,Social Media,5,0.1635,0.0692,False,True
338,47650.25,Rural,Video,Social Media,1,0.2865,0.0225,False,True
339,52696.16,Urban,Text,Search Engine,6,0.2763,0.0548,True,False
340,83111.39,Urban,Native,Social Media,5,0.133,0.032,False,False
341,36210.49,Rural,Text,Website,5,0.0455,0.0609,True,False
342,53547.24,Rural,Banner,Search Engine,4,0.1149,0.0519,False,False
343,86218.5,Urban,Text,Social Media,4,0.1264,0.0664,True,False
344,74935.24,Suburban,Text,Website,7,0.4691,0.0364,True,False
345,42409.68,Suburban,Native,Search Engine,4,0.0954,0.051,False,False
346,85215.83,Urban,Native,Social Media,10,0.4635,0.0816,False,False
347,44025.7,Urban,Text,Search Engine,6,0.0312,0.0584,True,False
348,52007.27,Suburban,Text,Social Media,3,0.347,0.0817,True,False
349,89887.17,Suburban,Native,Search Engine,3,0.1281,0.0218,False,False
350,13055.33,Suburban,Native,Search Engine,4,0.1095,0.0319,False,False
351,76109.19,Rural,Text,Search Engine,4,0.2434,0.0703,True,False
352,80867.2,Urban,Text,Social Media,5,0.0925,0.0834,True,False
353,39934.63,Urban,Text,Social Media,5,0.2218,0.0446,True,False
354,46382.74,Urban,Native,Website,3,0.0762,0.0389,False,False
355,30602.76,Urban,Native,Social Media,4,0.2034,0.079,False,False
356,42712.34,Suburban,Banner,Search Engine,7,0.3833,0.0865,False,False
357,21176.12,Urban,Text,Search Engine,6,0.153,0.0453,True,False
358,32033.74,Suburban,Banner,Website,1,0.3849,0.0208,False,False
359,25693.77,Urban,Text,Search Engine,4,0.2781,0.0393,True,False
360,41652.95,Rural,Video,Search Engine,8,0.0916,0.0495,False,True
361,84358.96,Suburban,Banner,Search Engine,4,0.2786,0.011,False,False
362,45794.05,Urban,Video,Website,5,0.2262,0.0561,False,True
363,50119.18,Suburban,Text,Website,4,0.3354,0.0575,True,False
364,55409.94,Rural,Text,Website,7,0.1316,0.0124,True,False
365,32051.1,Rural,Native,Website,0,0.6195,0.0347,False,False
366,70503.41,Suburban,Text,Search Engine,6,0.1957,0.065,True,False
367,46769.64,Suburban,Text,Search Engine,6,0.2734,0.035,True,False
368,55898.25,Suburban,Text,Website,6,0.1997,0.0376,True,False
369,31632.61,Urban,Text,Social Media,2,0.3802,0.0623,True,False
370,30304.42,Urban,Text,Website,3,0.1218,0.0132,True,False
371,55537.12,Suburban,Native,Website,2,0.2777,0.0697,False,False
372,33998.04,Suburban,Banner,Social Media,4,0.3681,0.0368,False,False
373,67239.17,Urban,Video,Social Media,5,0.1209,0.0237,False,True
374,68232.96,Rural,Text,Website,11,0.083,0.0612,True,False
375,96472.57,Suburban,Native,Website,11,0.3351,0.0627,False,False
376,57637.93,Urban,Video,Website,5,0.2099,0.053,False,True
377,43566.16,Suburban,Banner,Social Media,5,0.2758,0.0535,False,False
378,72836.41,Rural,Text,Social Media,6,0.2463,0.0242,True,False
379,52928.12,Suburban,Text,Search Engine,4,0.1955,0.0289,True,False
380,46759.52,Rural,Text,Social Media,3,0.2209,0.0734,True,False
381,53829.96,Urban,Native,Website,5,0.3351,0.0221,False,False
382,22241.27,Urban,Video,Website,4,0.0357,0.0881,False,True
383,45173.82,Urban,Video,Social Media,4,0.3264,0.0831,False,True
384,18024.26,Rural,Banner,Search Engine,4,0.1278,0.0659,False,False
385,59194.09,Urban,Banner,Social Media,1,0.244,0.0601,False,False
386,2211.08,Rural,Banner,Social Media,3,0.0837,0.0305,False,False
387,44632.54,Suburban,Text,Social Media,6,0.1957,0.055,True,False
388,55192.1,Rural,Video,Website,7,0.1459,0.046,False,True
389,10136.38,Rural,Banner,Social Media,5,0.2293,0.0452,False,False
390,36319.61,Rural,Text,Search Engine,1,0.0618,0.0531,True,False
391,41684.98,Suburban,Banner,Website,3,0.1442,0.0775,False,False
392,60697.3,Urban,Video,Social Media,4,0.2504,0.0618,False,True
393,78729.59,Urban,Text,Social Media,9,0.236,0.0788,True,False
394,66060.6,Suburban,Native,Website,4,0.343,0.0345,False,False
