,Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR
31,40,Female,22501.59,Suburban,Banner,Travel,Social Media,4,2024-03-29 20:45:56.898459,0.2823,0.0538
32,21,Female,63582.98,Urban,Text,Health,Search Engine,4,2023-07-21 20:45:56.898459,0.1279,0.0658
34,29,Other,29809.49,Suburban,Native,Finance,Search Engine,7,2023-10-28 20:45:56.898459,0.1981,0.0401
35,37,Female,22150.6,Urban,Video,Travel,Website,5,2023-09-07 20:45:56.898459,0.0864,0.0631
36,53,Male,45947.1,Rural,Video,Health,Website,5,2023-11-10 20:45:56.898459,0.0538,0.0303
37,53,Male,51355.06,Urban,Banner,Fashion,Search Engine,6,2023-10-20 20:45:56.898459,0.2863,0.058
38,29,Female,46982.03,Urban,Text,Food,Website,6,2023-07-31 20:45:56.898459,0.0427,0.0224
39,30,Female,60828.37,Rural,Text,Finance,Search Engine,3,2024-01-28 20:45:56.898459,0.4255,0.0391
40,19,Female,64288.68,Rural,Native,Technology,Search Engine,6,2023-10-25 20:45:56.898459,0.1025,0.0398
43,64,Male,23174.34,Rural,Text,Travel,Social Media,3,2023-07-31 20:45:56.898459,0.071,0.0678
44,27,Male,38731.09,Suburban,Native,Travel,Social Media,4,2023-09-29 20:45:56.898459,0.2015,0.0658
45,28,Female,44166.67,Rural,Native,Fashion,Website,6,2023-09-03 20:45:56.898459,0.2729,0.051
47,46,Male,80284.95,Rural,Text,Health,Social Media,2,2023-08-09 20:45:56.898459,0.1177,0.0342
49,31,Male,39963.08,Suburban,Native,Finance,Social Media,8,2023-08-13 20:45:56.898459,0.2173,0.0266
50,21,Male,62354.16,Urban,Text,Travel,Website,5,2023-08-15 20:45:56.898459,0.2819,0.0516
51,40,Other,50849.01,Suburban,Video,Travel,Search Engine,5,2023-06-14 20:45:56.898459,0.1592,0.0306
52,27,Male,55531.81,Urban,Text,Fashion,Social Media,5,2023-05-12 20:45:56.898459,0.0983,0.0484
54,34,Male,39949.18,Urban,Native,Finance,Search Engine,1,2024-01-04 20:45:56.898459,0.2505,0.0315
55,41,Female,61847.07,Suburban,Native,Technology,Search Engine,5,2023-12-16 20:45:56.898459,0.2261,0.0206
56,35,Female,62957.24,Urban,Banner,Fashion,Social Media,3,2023-05-17 20:45:56.899351,0.2871,0.0664
57,39,Female,19111.23,Suburban,Banner,Fashion,Social Media,8,2023-09-03 20:45:56.899351,0.1673,0.0506
58,25,Female,24840.5,Rural,Banner,Travel,Search Engine,3,2024-04-09 20:45:56.899351,0.2716,0.0402
59,29,Other,75618.52,Rural,Banner,Travel,Website,8,2023-07-27 20:45:56.899351,0.1348,0.0562
60,24,Female,62707.68,Urban,Video,Fashion,Social Media,6,2023-07-02 20:45:56.899351,0.1208,0.0495
61,29,Female,58263.49,Suburban,Text,Health,Website,9,2023-04-27 20:45:56.899351,0.2912,0.0598
62,22,Female,56317.49,Urban,Text,Food,Website,6,2023-07-29 20:45:56.899351,0.1866,0.0598
64,37,Male,40871.66,Urban,Native,Finance,Website,4,2023-06-09 20:45:56.899351,0.0723,0.0459
65,28,Female,58183.05,Rural,Banner,Travel,Website,1,2023-12-25 20:45:56.899351,0.0407,0.0187
67,41,Male,75458.8,Urban,Video,Food,Social Media,1,2023-09-09 20:45:56.899351,0.079,0.0303
68,21,Male,33990.5,Rural,Native,Technology,Social Media,4,2023-07-13 20:45:56.899351,0.4223,0.04
69,35,Female,41135.72,Suburban,Banner,Fashion,Website,7,2023-04-23 20:45:56.899351,0.0189,0.0484
70,45,Female,57373.69,Urban,Video,Technology,Search Engine,1,2024-03-30 20:45:56.899351,0.1223,0.0077
71,36,Male,65014.85,Rural,Video,Finance,Social Media,10,2023-11-02 20:45:56.899351,0.2394,0.0678
72,52,Female,68853.82,Urban,Banner,Fashion,Search Engine,3,2023-07-13 20:45:56.899351,0.0596,0.0254
74,41,Male,19089.89,Urban,Banner,Food,Website,1,2023-10-23 20:45:56.899351,0.1403,0.0197
75,24,Female,25319.53,Rural,Text,Finance,Social Media,6,2023-07-20 20:45:56.899351,0.1879,0.0253
76,21,Male,31980.07,Suburban,Banner,Fashion,Search Engine,3,2024-02-20 20:45:56.899351,0.3858,0.0557
77,26,Male,24529.2,Rural,Banner,Health,Search Engine,6,2023-06-28 20:45:56.899351,0.4765,0.0567
78,30,Female,48769.03,Urban,Video,Fashion,Social Media,5,2023-10-28 20:45:56.899351,0.245,0.0835
79,35,Other,87281.97,Suburban,Video,Food,Website,4,2023-11-23 20:45:56.899351,0.2179,0.053
81,48,Male,54347.78,Urban,Native,Fashion,Search Engine,6,2024-03-07 20:45:56.899351,0.2648,0.0544
82,41,Other,1250.54,Suburban,Text,Health,Search Engine,2,2023-05-02 20:45:56.899351,0.1896,0.0268
84,57,Male,44979.21,Urban,Native,Travel,Social Media,0,2024-01-26 20:45:56.899351,0.1081,0.0165
85,63,Male,35720.87,Rural,Text,Fashion,Social Media,5,2023-12-31 20:45:56.899351,0.2205,0.026
86,52,Male,67818.54,Rural,Video,Finance,Search Engine,5,2023-06-17 20:45:56.899351,0.245,0.0278
87,32,Female,76733.48,Suburban,Banner,Health,Website,3,2023-08-03 20:45:56.899351,0.0495,0.0794
88,18,Male,48339.17,Suburban,Native,Travel,Social Media,4,2023-08-06 20:45:56.899351,0.3176,0.037
89,50,Male,100260.79,Urban,Native,Fashion,Search Engine,5,2023-04-27 20:45:56.899351,0.188,0.0674
90,28,Male,51961.63,Suburban,Video,Fashion,Website,5,2023-11-11 20:45:56.899351,0.1723,0.0504
91,53,Male,33027.18,Suburban,Native,Finance,Search Engine,4,2024-01-04 20:45:56.899351,0.3081,0.0236
92,38,Female,59997.25,Rural,Banner,Health,Search Engine,7,2023-12-09 20:45:56.899351,0.1605,0.0117
93,49,Female,41810.76,Suburban,Text,Fashion,Search Engine,6,2023-08-06 20:45:56.899351,0.1124,0.0682
94,40,Female,60917.19,Rural,Native,Food,Website,2,2023-11-25 20:45:56.899351,0.2183,0.0602
95,45,Male,40275.68,Suburban,Text,Finance,Website,5,2023-09-07 20:45:56.899351,0.0885,0.0535
96,35,Female,9089.99,Suburban,Banner,Finance,Search Engine,6,2023-08-21 20:45:56.899351,0.3752,0.0379
97,61,Female,70786.39,Suburban,Native,Health,Website,2,2024-01-10 20:45:56.899351,0.0292,0.0705
98,36,Female,52336.99,Rural,Native,Travel,Social Media,6,2023-09-12 20:45:56.899351,0.1221,0.1
99,41,Male,15668.23,Urban,Text,Finance,Search Engine,6,2023-06-30 20:45:56.899351,0.1326,0.0359
100,63,Male,27858.24,Urban,Video,Finance,Social Media,7,2023-06-30 20:45:56.899351,0.0656,0.084
103,49,Female,61179.65,Suburban,Video,Travel,Website,5,2024-01-07 20:45:56.899351,0.1648,0.0558
105,64,Male,18081.34,Urban,Video,Technology,Search Engine,5,2024-03-26 20:45:56.899351,0.3892,0.0208
106,28,Female,80814.86,Urban,Native,Technology,Social Media,3,2024-03-02 20:45:56.899351,0.4125,0.0625
107,23,Male,38205.39,Suburban,Native,Health,Website,5,2023-08-23 20:45:56.899351,0.2928,0.0659
108,63,Female,13715.06,Rural,Banner,Food,Social Media,7,2023-09-06 20:45:56.899351,0.2759,0.0371
109,57,Other,53396.39,Rural,Native,Fashion,Social Media,9,2024-02-12 20:45:56.899351,0.2716,0.034
110,63,Male,47409.79,Rural,Banner,Fashion,Social Media,4,2023-12-20 20:45:56.899351,0.053,0.025
111,48,Other,60555.09,Suburban,Banner,Fashion,Search Engine,6,2024-03-07 20:45:56.899351,0.2151,0.0507
112,22,Female,54892.26,Urban,Banner,Travel,Search Engine,7,2023-08-03 20:45:56.899351,0.1797,0.0652
113,63,Female,43529.85,Urban,Video,Health,Search Engine,3,2023-09-11 20:45:56.899351,0.0988,0.0793
114,30,Female,75123.72,Urban,Video,Finance,Website,6,2023-10-04 20:45:56.899351,0.0565,0.0523
115,47,Female,65100.79,Urban,Video,Food,Social Media,5,2023-10-11 20:45:56.899351,0.148,0.0608
116,49,Male,53027.76,Urban,Native,Fashion,Website,6,2024-04-04 20:45:56.899351,0.3582,0.0822
117,32,Other,41570.32,Urban,Native,Technology,Social Media,8,2024-02-27 20:45:56.899351,0.1832,0.0748
118,44,Male,66296.73,Suburban,Text,Technology,Social Media,9,2023-07-07 20:45:56.899351,0.3795,0.0502
119,48,Male,78603.46,Urban,Text,Technology,Search Engine,7,2024-02-11 20:45:56.899351,0.1896,0.0525
120,40,Female,52601.79,Suburban,Text,Fashion,Website,5,2023-06-27 20:45:56.899351,0.1757,0.0415
121,18,Male,59207.78,Urban,Banner,Finance,Website,3,2023-11-02 20:45:56.899351,0.1558,0.062
122,39,Male,32601.22,Urban,Banner,Technology,Website,4,2023-09-02 20:45:56.899351,0.1829,0.0249
123,54,Male,49525.38,Urban,Banner,Technology,Search Engine,6,2023-04-22 20:45:56.899351,0.2495,0.0456
124,24,Male,27523.28,Urban,Text,Health,Social Media,4,2023-11-18 20:45:56.899351,0.2826,0.0427
125,32,Other,52754.67,Suburban,Text,Health,Social Media,5,2023-12-08 20:45:56.899351,0.1387,0.0481
126,28,Female,54883.59,Suburban,Banner,Finance,Website,6,2024-03-20 20:45:56.899351,0.4485,0.0375
127,62,Female,15418.29,Rural,Text,Fashion,Social Media,9,2023-11-24 20:45:56.899351,0.1383,0.0703
128,45,Female,40055.2,Rural,Banner,Food,Social Media,3,2023-06-21 20:45:56.899351,0.4684,0.0523
129,41,Female,76007.96,Suburban,Text,Finance,Search Engine,8,2024-02-17 20:45:56.899351,0.2614,0.0426
130,23,Male,38639.97,Suburban,Banner,Fashion,Social Media,4,2024-02-09 20:45:56.899351,0.2637,0.0454
131,43,Female,61891.35,Rural,Banner,Health,Search Engine,7,2024-03-22 20:45:56.899351,0.2266,0.0506
132,24,Male,64885.02,Urban,Text,Health,Social Media,9,2023-09-09 20:45:56.899351,0.1886,0.0569
133,35,Male,44861.95,Rural,Native,Travel,Search Engine,3,2023-06-08 20:45:56.899351,0.3215,0.0852
134,25,Female,30298.96,Urban,Native,Health,Website,3,2024-03-10 20:45:56.899351,0.1246,0.0284
135,45,Male,54726.72,Urban,Native,Health,Search Engine,7,2023-05-10 20:45:56.899351,0.2797,0.0346
136,43,Male,56708.49,Rural,Video,Travel,Website,7,2023-07-02 20:45:56.899351,0.0061,0.0492
137,31,Male,9662.59,Urban,Video,Technology,Social Media,4,2023-11-19 20:45:56.899351,0.0404,0.0447
138,40,Female,63083.44,Urban,Video,Health,Social Media,8,2024-01-13 20:45:56.899351,0.0314,0.0704
139,18,Male,52019.09,Urban,Native,Health,Search Engine,7,2023-07-09 20:45:56.899351,0.2714,0.0913
141,41,Other,82441.0,Rural,Banner,Fashion,Search Engine,5,2023-05-20 20:45:56.899351,0.1362,0.0577
142,37,Male,72557.72,Urban,Native,Food,Search Engine,2,2023-10-21 20:45:56.899351,0.0633,0.0464
143,44,Male,81286.8,Urban,Text,Food,Social Media,2,2023-09-17 20:45:56.899351,0.2082,0.0594
144,70,Female,84652.97,Suburban,Text,Health,Search Engine,5,2023-08-23 20:45:56.899351,0.3645,0.0625
145,49,Female,51944.78,Urban,Banner,Finance,Search Engine,7,2024-04-04 20:45:56.899351,0.1069,0.051
146,21,Other,48634.92,Urban,Text,Food,Social Media,8,2023-08-19 20:45:56.899351,0.1038,0.043
147,51,Male,60914.57,Suburban,Video,Technology,Website,5,2024-03-04 20:45:56.899351,0.0683,0.0556
149,28,Female,85270.6,Rural,Video,Food,Social Media,4,2023-07-23 20:45:56.899351,0.3224,0.0709
150,33,Female,18969.96,Urban,Native,Food,Search Engine,3,2023-08-17 20:45:56.899351,0.0858,0.0424
151,60,Female,25592.38,Rural,Native,Fashion,Website,6,2023-11-13 20:45:56.899351,0.1135,0.003
152,23,Male,46397.3,Rural,Banner,Food,Website,3,2023-12-27 20:45:56.899351,0.5816,0.0513
154,33,Female,53430.69,Rural,Text,Technology,Search Engine,2,2023-10-18 20:45:56.899351,0.0192,0.0461
155,25,Female,62058.98,Urban,Native,Travel,Social Media,6,2023-11-30 20:45:56.899351,0.3087,0.0506
156,51,Female,51146.08,Rural,Banner,Health,Search Engine,5,2023-08-05 20:45:56.899351,0.2215,0.0249
157,18,Male,97146.85,Rural,Banner,Food,Social Media,5,2024-01-31 20:45:56.899351,0.0673,0.0431
159,28,Male,40966.93,Rural,Text,Travel,Website,6,2023-12-13 20:45:56.899351,0.2644,0.0386
160,27,Male,45165.85,Rural,Banner,Travel,Website,9,2023-08-09 20:45:56.899351,0.2373,0.0536
161,63,Male,59326.49,Urban,Banner,Travel,Search Engine,7,2023-12-19 20:45:56.899351,0.1706,0.0524
162,49,Male,37347.22,Urban,Banner,Travel,Website,2,2023-11-21 20:45:56.899351,0.0215,0.0196
163,36,Female,52417.55,Rural,Text,Technology,Website,4,2023-11-14 20:45:56.899351,0.1839,0.0875
165,47,Female,76878.53,Urban,Banner,Travel,Search Engine,2,2023-05-05 20:45:56.899351,0.1634,0.0584
166,19,Female,75503.0,Suburban,Banner,Health,Social Media,0,2024-04-13 20:45:56.899351,0.1322,0.0603
168,52,Female,38487.22,Rural,Native,Finance,Website,4,2023-08-18 20:45:56.899351,0.0248,0.0608
169,39,Female,78126.88,Rural,Text,Technology,Social Media,6,2023-07-05 20:45:56.899351,0.1779,0.0315
170,48,Female,20243.96,Urban,Text,Food,Search Engine,11,2023-05-02 20:45:56.899351,0.2485,0.0607
171,39,Other,39923.75,Urban,Native,Health,Website,5,2023-09-27 20:45:56.899351,0.0663,0.0675
172,47,Female,69680.47,Rural,Video,Finance,Search Engine,3,2023-12-21 20:45:56.899351,0.1445,0.0456
173,25,Female,28311.37,Rural,Banner,Health,Website,9,2024-03-20 20:45:56.899351,0.4679,0.0
174,19,Male,44431.65,Suburban,Video,Travel,Search Engine,4,2023-05-29 20:45:56.899351,0.1548,0.0671
175,45,Female,58831.02,Rural,Native,Finance,Search Engine,5,2023-05-03 20:45:56.899351,0.1234,0.0495
176,22,Female,47674.3,Urban,Video,Finance,Website,3,2024-03-02 20:45:56.899351,0.2847,0.0351
177,24,Other,53515.64,Urban,Native,Food,Social Media,7,2023-11-25 20:45:56.899351,0.1486,0.0259
178,28,Male,64822.85,Suburban,Video,Fashion,Search Engine,5,2023-08-09 20:45:56.899351,0.2065,0.0229
179,35,Female,42662.36,Suburban,Video,Travel,Search Engine,8,2024-02-21 20:45:56.899351,0.1459,0.0156
180,29,Male,35588.51,Urban,Native,Finance,Search Engine,3,2023-07-24 20:45:56.899351,0.3702,0.0059
182,25,Male,54124.51,Suburban,Native,Fashion,Social Media,1,2023-12-03 20:45:56.899351,0.1491,0.0614
184,44,Male,81805.55,Suburban,Video,Finance,Website,5,2023-06-09 20:45:56.899351,0.3002,0.0491
186,18,Female,36219.06,Suburban,Native,Food,Search Engine,6,2023-08-27 20:45:56.899351,0.2544,0.0381
187,35,Female,10019.72,Urban,Banner,Finance,Search Engine,4,2023-05-06 20:45:56.899351,0.3539,0.0729
188,23,Other,41475.55,Suburban,Text,Finance,Social Media,4,2024-01-14 20:45:56.899351,0.1573,0.0666
189,58,Female,26523.66,Suburban,Text,Technology,Website,5,2023-06-30 20:45:56.899351,0.2946,0.0706
191,39,Female,58363.24,Suburban,Text,Finance,Social Media,9,2023-10-05 20:45:56.899351,0.2353,0.0385
192,34,Female,3737.92,Rural,Native,Technology,Website,5,2024-01-20 20:45:56.899351,0.1906,0.0447
194,42,Female,43997.24,Urban,Video,Technology,Website,5,2024-03-15 20:45:56.899351,0.2315,0.0436
195,32,Female,84195.66,Urban,Native,Technology,Website,6,2023-05-09 20:45:56.899351,0.1386,0.0602
196,46,Male,26808.65,Urban,Video,Travel,Search Engine,3,2023-11-04 20:45:56.899351,0.1175,0.0473
197,47,Other,7413.33,Urban,Banner,Travel,Website,5,2023-09-10 20:45:56.899351,0.2326,0.0441
198,67,Male,43385.61,Rural,Native,Finance,Website,5,2023-08-25 20:45:56.899351,0.0557,0.0529
199,55,Female,75204.79,Urban,Text,Health,Social Media,7,2023-08-22 20:45:56.899351,0.1795,0.0406
200,29,Male,35780.37,Urban,Text,Technology,Social Media,8,2023-04-25 20:45:56.899351,0.3677,0.0724
201,31,Other,85215.63,Suburban,Video,Food,Social Media,1,2024-02-24 20:45:56.899351,0.266,0.0223
202,51,Other,36943.76,Urban,Video,Fashion,Website,4,2023-09-15 20:45:56.899351,0.0912,0.012
203,44,Other,82934.94,Rural,Banner,Fashion,Website,4,2024-03-02 20:45:56.899351,0.1029,0.0566
204,44,Female,31034.83,Urban,Video,Fashion,Search Engine,5,2023-11-21 20:45:56.899351,0.1128,0.0364
206,34,Male,36918.86,Rural,Banner,Finance,Search Engine,4,2023-06-19 20:45:56.899351,0.1298,0.035
207,23,Female,43768.36,Suburban,Video,Fashion,Search Engine,6,2023-09-15 20:45:56.899351,0.1343,0.0504
208,39,Female,17717.62,Rural,Text,Health,Social Media,2,2023-05-30 20:45:56.899351,0.0083,0.0349
209,33,Male,28537.82,Suburban,Banner,Technology,Social Media,8,2023-10-10 20:45:56.899351,0.2914,0.0789
210,48,Male,50853.47,Urban,Native,Fashion,Search Engine,5,2023-07-20 20:45:56.899351,0.1429,0.0438
211,39,Female,28002.1,Suburban,Banner,Finance,Website,4,2024-04-06 20:45:56.899351,0.0751,0.0463
212,46,Female,70979.44,Rural,Banner,Travel,Social Media,6,2024-04-07 20:45:56.899351,0.0948,0.0207
213,28,Female,78160.75,Rural,Text,Fashion,Social Media,4,2023-10-12 20:45:56.899351,0.3185,0.0446
214,20,Male,42257.74,Suburban,Video,Health,Website,6,2024-02-15 20:45:56.899351,0.1056,0.0354
215,28,Female,55705.25,Suburban,Native,Fashion,Website,5,2023-09-05 20:45:56.899351,0.4735,0.0213
216,34,Male,77081.2,Rural,Text,Food,Website,2,2023-07-09 20:45:56.899351,0.2868,0.0241
217,40,Other,60000.62,Suburban,Native,Food,Social Media,5,2024-01-14 20:45:56.899351,0.2184,0.0854
218,68,Male,49612.53,Urban,Video,Fashion,Search Engine,4,2023-08-18 20:45:56.899351,0.2966,0.0615
219,34,Female,73259.01,Suburban,Video,Travel,Social Media,5,2023-07-30 20:45:56.899351,0.0677,0.031
220,20,Female,85414.13,Urban,Banner,Travel,Website,1,2023-05-05 20:45:56.899351,0.1453,0.0677
221,29,Male,34452.6,Rural,Banner,Health,Website,8,2024-01-16 20:45:56.899351,0.1749,0.0726
222,28,Male,66322.31,Urban,Native,Health,Search Engine,6,2023-11-08 20:45:56.899351,0.2929,0.0611
223,42,Male,37851.4,Urban,Video,Food,Search Engine,5,2023-06-01 20:45:56.899351,0.1909,0.0497
225,35,Female,35363.82,Rural,Video,Fashion,Website,6,2023-07-31 20:45:56.899351,0.1012,0.0832
226,37,Male,69293.36,Suburban,Text,Food,Website,5,2023-12-09 20:45:56.899351,0.1911,0.0879
227,38,Female,59824.7,Suburban,Banner,Fashion,Social Media,9,2023-04-24 20:45:56.899351,0.1913,0.0269
228,26,Male,60010.55,Urban,Text,Technology,Search Engine,8,2023-12-02 20:45:56.899351,0.0606,0.0606
229,31,Male,46226.38,Suburban,Text,Food,Search Engine,6,2023-07-07 20:45:56.899351,0.3089,0.051
231,27,Male,37768.33,Suburban,Video,Finance,Website,3,2024-04-11 20:45:56.899351,0.0229,0.0147
232,26,Male,21958.91,Rural,Banner,Technology,Search Engine,7,2023-11-16 20:45:56.899351,0.229,0.0843
233,41,Male,44950.7,Urban,Native,Fashion,Social Media,6,2023-05-23 20:45:56.899351,0.2252,0.0657
235,46,Female,42295.08,Suburban,Text,Travel,Website,3,2023-12-13 20:45:56.899351,0.2064,0.0377
236,57,Other,55183.82,Suburban,Native,Finance,Website,7,2024-03-07 20:45:56.899351,0.0629,0.0375
238,41,Female,18553.82,Urban,Native,Fashion,Search Engine,8,2023-11-26 20:45:56.899351,0.2924,0.0694
239,45,Male,56640.9,Urban,Text,Health,Social Media,5,2023-07-31 20:45:56.899351,0.0561,0.0531
240,25,Male,114013.76,Urban,Banner,Finance,Social Media,9,2023-11-14 20:45:56.899351,0.1265,0.0508
241,29,Male,62311.07,Rural,Video,Technology,Search Engine,2,2023-07-04 20:45:56.899351,0.0878,0.0505
242,33,Female,66046.91,Urban,Video,Finance,Search Engine,4,2024-02-25 20:45:56.899351,0.09,0.0744
243,30,Male,52381.61,Urban,Native,Technology,Search Engine,6,2024-04-19 20:45:56.899351,0.1713,0.0564
244,30,Female,52358.65,Urban,Native,Technology,Website,4,2023-07-05 20:45:56.899351,0.0468,0.0549
246,52,Male,47074.04,Suburban,Text,Travel,Website,7,2023-11-28 20:45:56.899351,0.3212,0.0746
247,51,Female,51117.44,Urban,Video,Travel,Search Engine,4,2023-10-05 20:45:56.899351,0.0764,0.0337
248,22,Male,50120.28,Rural,Text,Technology,Website,7,2023-06-04 20:45:56.899351,0.1792,0.0207
250,42,Male,54648.81,Urban,Native,Fashion,Social Media,7,2023-10-25 20:45:56.899351,0.3281,0.0621
251,26,Male,61830.01,Rural,Text,Food,Website,5,2024-03-05 20:45:56.899351,0.2856,0.0313
252,37,Female,29577.11,Suburban,Banner,Technology,Search Engine,6,2023-09-16 20:45:56.899351,0.4823,0.0483
253,30,Male,52936.39,Rural,Video,Travel,Search Engine,8,2024-03-11 20:45:56.899351,0.1184,0.0407
254,45,Female,69895.45,Urban,Text,Travel,Social Media,9,2023-09-01 20:45:56.899351,0.2722,0.052
255,45,Other,47693.05,Rural,Banner,Travel,Website,4,2023-10-08 20:45:56.899351,0.091,0.0709
256,24,Male,5922.31,Suburban,Banner,Health,Search Engine,4,2023-07-14 20:45:56.899351,0.1205,0.0509
259,44,Female,65081.34,Rural,Native,Food,Website,9,2023-07-18 20:45:56.899351,0.3433,0.0503
261,27,Male,55323.4,Suburban,Banner,Travel,Search Engine,6,2023-07-13 20:45:56.899351,0.0142,0.0358
262,26,Male,77011.92,Rural,Text,Health,Website,5,2023-05-05 20:45:56.899351,0.2653,0.0271
263,34,Female,88790.43,Suburban,Native,Travel,Search Engine,4,2024-01-22 20:45:56.899351,0.3709,0.0824
265,37,Female,38402.13,Rural,Banner,Fashion,Social Media,6,2023-10-02 20:45:56.899351,0.2668,0.0906
266,42,Male,72176.28,Urban,Banner,Food,Social Media,6,2023-07-22 20:45:56.899351,0.2982,0.0672
267,36,Female,38545.23,Urban,Native,Finance,Search Engine,4,2023-11-30 20:45:56.899351,0.1536,0.0583
268,30,Female,62037.63,Suburban,Banner,Health,Search Engine,10,2023-05-19 20:45:56.899351,0.1342,0.0344
269,36,Female,84915.03,Suburban,Video,Food,Search Engine,7,2023-09-21 20:45:56.899351,0.1899,0.0485
270,40,Male,34920.76,Rural,Banner,Finance,Social Media,6,2023-12-28 20:45:56.899351,0.0977,0.0615
272,64,Male,13674.28,Suburban,Native,Finance,Search Engine,3,2023-08-13 20:45:56.899351,0.063,0.0489
273,40,Female,59407.96,Urban,Banner,Travel,Search Engine,3,2024-03-26 20:45:56.899351,0.0576,0.0547
274,25,Male,17279.22,Urban,Native,Health,Social Media,4,2023-06-20 20:45:56.899351,0.3572,0.0724
275,29,Male,60360.64,Urban,Banner,Food,Social Media,5,2024-01-01 20:45:56.899351,0.0635,0.0827
276,42,Male,56144.82,Rural,Text,Food,Website,7,2024-04-02 20:45:56.899351,0.183,0.0629
277,33,Female,42556.75,Suburban,Banner,Fashion,Social Media,6,2023-06-12 20:45:56.899351,0.2048,0.0396
279,65,Female,85562.57,Suburban,Video,Health,Search Engine,1,2023-11-24 20:45:56.899351,0.3251,0.0243
280,33,Male,64512.13,Suburban,Video,Finance,Website,4,2023-07-15 20:45:56.899351,0.2018,0.0393
281,50,Female,39061.49,Urban,Native,Technology,Social Media,4,2024-04-04 20:45:56.899351,0.2265,0.0965
282,24,Male,27701.67,Rural,Text,Finance,Website,2,2023-06-21 20:45:56.899351,0.0633,0.0829
283,58,Female,25979.28,Rural,Video,Finance,Social Media,5,2023-07-07 20:45:56.899351,0.0836,0.0603
284,39,Male,48131.97,Suburban,Native,Travel,Search Engine,6,2023-09-25 20:45:56.899351,0.4269,0.0529
285,44,Male,40081.4,Rural,Banner,Finance,Search Engine,6,2024-03-25 20:45:56.899351,0.2094,0.0263
286,19,Female,45684.09,Urban,Banner,Food,Social Media,6,2023-09-17 20:45:56.899351,0.3244,0.0511
